Account ID,AC,Active?,Preparer Duration
1002_ON-2100-117122-0000-12905-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-13003-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-13004-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-13203-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-13302-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-13406-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-13602-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-13605-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-13904-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14001-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14115-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14118-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14204-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14213-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14306-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14402-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14503-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14505-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14507-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14602-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14614-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14807-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14808-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-14813-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-15002-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-15110-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-15201-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-15304-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-15305-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-15402-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-15408-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-15412-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-15419-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-15441-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-15443-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-15611-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-16010-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-16014-0000-ALL-ALL,117122,Yes,14
1002_ON-2100-117122-0000-16016-0000-ALL-ALL,117122,Yes,14
